Four Mile Trail	Yosemite National Park	California	12070.05	7	out and back	 forest	 river	 views
Sentinel Dome Trail	Yosemite National Park	California	3379.614	1	out and back	 views	 wild-flowers	 wildlife
Glacier Point Trail	Yosemite National Park	California	965.604	1	out and back	 dogs-leash	 forest	 kid-friendly
Vernal Falls	Yosemite National Park	California	5954.558	3	out and back	 partially-paved	 river	 views
Ryan Mountain Trail	Joshua Tree National Park	California	4828.02	3	out and back	 kid-friendly	 views	 wild-flowers
Mirror Lake via Valley Loop Trail	Yosemite National Park	California	9012.304	1	loop	 dogs-no	 forest	 lake
Tokopah Falls via Tokopah Valley Trail	Sequoia National Park	California	6437.36	3	out and back	 forest	 kid-friendly	 partially-paved
Lassen Peak	Lassen Volcanic National Park	California	8207.634	5	out and back	 forest	 lake	 hot-springs
Mist Falls Trail	Kings Canyon National Park	California	13035.654	3	out and back	 forest	 river	 views
Heather Lake and  Emerald Lake and  and Pear Lake Trail via Watchtower and Pear Lake Trails	Sequoia National Park	California	18990.212	5	out and back	 forest	 lake	 views
Barker Dam Nature Trail	Joshua Tree National Park	California	2896.812	1	out and back	 forest	 lake	 kid-friendly
General Sherman Tree Trail	Sequoia National Park	California	1287.472	1	out and back	 dogs-no	 forest	 kid-friendly
Bridalveil Fall Trail	Yosemite National Park	California	804.67	1	out and back	 forest	 kid-friendly	 paved
Marble Falls Trail	Sequoia National Park	California	11909.116	3	out and back	 forest	 river	 views
Hidden Valley Nature Trail	Joshua Tree National Park	California	1609.34	1	loop	 kid-friendly	 views	 wild-flowers
Taft Point and The Fissures	Yosemite National Park	California	3701.482	1	out and back	 forest	 kid-friendly	 views
Rae Lakes Trail	Kings Canyon National Park	California	66626.676	5	loop	 forest	 lake	 river
Congress Trail	Sequoia National Park	California	5149.888	1	loop	 dogs-no	 forest	 kid-friendly
Cathedral Lakes Trail	Yosemite National Park	California	13840.324	3	out and back	 forest	 lake	 views
Lost Palms Oasis	Joshua Tree National Park	California	11587.248	3	out and back	 views	 wild-flowers	 wildlife
Vernal and Nevada Falls via the Panorama Trail	Yosemite National Park	California	14484.06	5	point to point	 forest	 river	 views
Condor Gulch Trail to High Peaks Trail Loop	Pinnacles National Park	California	8690.436	5	loop	 dogs-no	 forest	 lake
Arch Rock Nature Trail	Joshua Tree National Park	California	1126.538	1	out and back	 kid-friendly	 views	 wild-flowers
Columbia Rock Trail	Yosemite National Park	California	2092.142	3	out and back	 forest	 views	 wild-flowers
Porcupine Creek Trail to Indian Ridge Natural Arch to North Dome	Yosemite National Park	California	16737.136	3	out and back	 forest	 views	 wild-flowers
Fortynine Palms Oasis Trail	Joshua Tree National Park	California	4506.152	3	out and back	 kid-friendly	 views	 wildlife
John Muir Trail via Yosemite Valley	Yosemite National Park	California	326856.954	5	point to point	 forest	 lake	 river
Lost Horse Mine Loop Trail	Joshua Tree National Park	California	11104.446	3	loop	 views	 wild-flowers	 wildlife
Mariposa Grove of Giant Sequoias Trail	Yosemite National Park	California	9012.304	3	loop	 forest	 historic-site	 kid-friendly
Chilnualna Falls Trail	Yosemite National Park	California	12713.786	3	out and back	 forest	 river	 views
Badwater Basin Salt Flats Trail	Death Valley National Park	California	2896.812	1	out and back	 kid-friendly	 views	 wildlife
Sentinel Dome and Taft Point Loop	Yosemite National Park	California	8207.634	3	loop	 forest	 views	 wildlife
Nevada Falls	Yosemite National Park	California	8690.436	5	out and back	 partially-paved	 river	 views
Tall Trees Grove Loop Trail	Redwood National Park	California	5310.822	3	loop	 forest	 kid-friendly	 river
